author_id,name,biography,birth_date,death_date
31,Ecir Akdemir,"Ecir Akdemir, özellikle deneme ve hikaye türlerinde eser veren bir Türk yazardır. İnsan psikolojisi ve toplum yapısı üzerine yaptığı detaylı gözlemler, eserlerine derinlik katar. Akdemir’in anlatımında, duygu yoğunluğu ve empati ön plandadır.",,
32,Karen Katchur,"Karen Katchur, Amerikalı bir yazar olup psikolojik gerilim türündeki romanları ile tanınır. Katchur’un eserleri, güçlü karakter gelişimleri ve beklenmedik olay örgüleri ile okuyucularını şaşırtır. Yazılarında aile bağları, sırlar ve insan doğasının karanlık yönleri sıkça işlenir.",,
33,Mutlu Esentürk Hacıosman,"Mutlu Esentürk Hacıosman, Türk edebiyatında şiir ve deneme alanında eserler veren bir yazardır. Eserlerinde toplumsal eleştiriler ve insan ruhunun derinlikleri ön plandadır.",,
34,Tim Waggoner,"Tim Waggoner, Amerikalı bir korku ve fantastik kurgu yazarıdır. Çalışmalarında insan korkularını ve doğaüstü olayları ustalıkla işler. Waggoner, okuyucularını hem eğlendiren hem de düşündüren çok katmanlı hikayeler yaratır. Aynı zamanda yaratıcı yazarlık konusunda eğitim veren bir akademisyendir.",,
35,Hande Altaylı,"Hande Altaylı, Türk edebiyatında aşk ve dram türündeki romanları ile bilinen bir yazardır. Altaylı’nın eserleri, güçlü kadın karakterler ve etkileyici hikayeler ile dikkat çeker. Yazar, ilişkilerdeki duygusal derinlikleri ve insan doğasının karmaşıklığını çarpıcı bir şekilde işler.",,
36,Sonay Atabey Can,"Sonay Atabey Can, Türk edebiyatında şiir ve roman türlerinde eserler veren bir yazardır. Eserlerinde doğa, aşk ve insanın varoluş mücadelesini işler. Can’ın üslubu, duygusal bir yoğunluk ve sanatsal bir incelik taşır. Yazdığı şiirler, özellikle duygusal derinlikleriyle okuyuculara hitap eder.",,
37,Susan Dennard,"Susan Dennard, Amerikalı yazardır. Fantastik ve genç yetişkin türlerinde eserler verir. Dennard, ""Truthwitch"" adlı eserinde sihir ve macera unsurlarını işler.",1982-03-14,
38,Marina Lewycka,Ukrayna kökenli İngiliz yazardır. Modern çağ romanlarıyla bilinir.,1946-12-10,
39,Roy Jacobsen,Norveçli yazar. The Unseen gibi eserleriyle tanınır.,1954-12-19,
40,Emma Chase,Romantik komedi türünde eserler veren Amerikalı yazardır.,1982-10-15,
41,Yakup Bulut,Türk yazar.,1979-02-11,
42,İsmail Hakkı İçten,Türk edebiyatının önemli isimlerinden biri. Edebiyat ve araştırmalar alanında değerli çalışmaları bulunmaktadır.,1950-04-09,
43,Nursezer Tezsezer,Türk yazar ve akademisyen. Çeşitli konularda makaleler yazmış ve edebi eserler vermiştir.,,
44,Halil Cibran,Lübnanlı yazar ve şair. Eserlerinde felsefi ve mistik temalar işler.,1883-01-06,1931-04-10
45,Pınar Kür,Türk yazar ve akademisyen. Kadın hakları ve toplumsal cinsiyet üzerine yazılar yazmaktadır.,,
46,Philippe Djian,Fransız yazarı. Modern Fransız edebiyatının önemli isimlerinden biridir.,,
47,Mustafa Öncel,"Türk edebiyatının önemli isimlerinden biri olup, romancılık alanında eserler vermiştir.",,
48,Erdal Öz,Türk yazarı ve öğretim görevlisi. Özellikle felsefi ve sosyo-politik konulara dair yazılar yazmaktadır.,,
49,Atıq Rahımı,Türk yazar. Genellikle edebiyat dünyasında kişisel ve toplumsal değerleri işler.,,
50,Zoe Wicomb,Afgan yazar ve şair. Edebiyatında kültürel ve toplumsal meseleleri işleyen önemli eserleri bulunmaktadır.,,
51,Mahinev,Güney Afrikalı yazar. Eserlerinde çoğunlukla postkolonyal temalar ve kimlik sorunları yer almaktadır.,,
52,Adıgüzel Özgüven,Türk yazarı. Çeşitli edebiyat türlerinde eserler vermiş ve toplumsal değerleri işlemiştir.,,
53,Wendy Walker,Amerikalı yazar. Psikolojik gerilim ve dram türlerinde eserler vermektedir.,,
54,Serap Balım,Türk yazar. Edebiyat dünyasında önemli bir figür olarak yer almış ve çeşitli edebi ödüller kazanmıştır.,,
55,Alain Gillot,Fransız yazarı. Özellikle postmodernist eserleriyle tanınır.,,
56,N.G. Kabal,Rus yazarı. Edebiyatında toplumsal ve felsefi temaları işler.,,
57,Terry Eagleton,İngiliz edebiyat teorisyeni. Post-yapısalcılık ve edebiyat eleştirisi üzerine önemli çalışmaları bulunmaktadır.,,
58,Duru Mavii,Türk yazarı. Modern şiir ve edebiyat üzerine önemli eserler kaleme almıştır.,,
59,Cem Can,Türk yazar. Edebiyat dünyasında adını duyurmuş ve genç yetişkin edebiyatı üzerine yazılar yazmıştır.,,
60,Ali Tekçi,Türk yazarı. Fantastik ve bilim kurgu türünde eserler vermektedir.,,
61,T. J. Newman,"T. J. Newman, Amerikalı bir yazardır. Eski bir hava yolu çalışanı olarak deneyimlerini kitaplarına yansıtmıştır. İlk romanı ""Falling"", bir uçak kazası sonrası gelişen olayları ve hayatta kalmaya çalışan karakterleri konu alır. Gerilim ve aksiyon türünde yazan Newman, aynı zamanda hava yolu endüstrisinin iç işleyişine dair bilgi ve gözlemlerini romanlarına yansıtarak, gerçekçilik ile hayal gücünü birleştirir.",,
62,İhsan Cihangir,"İhsan Cihangir, Türk edebiyatının önemli yazarlarındandır. Roman ve deneme alanındaki eserlerinde toplumsal ve bireysel problemleri ele alır. Eserlerinde karakterlerin iç dünyalarını derinlemesine işlerken, zaman zaman tarihsel bağlamları da kullanarak toplumsal yapıyı sorgular. Modern Türk edebiyatında kendine sağlam bir yer edinmiştir.",,
63,Metin Güçlü,"Metin Güçlü, Türk edebiyatının dikkat çeken yazarlarından biridir. Eserlerinde genellikle toplumsal değişimleri, bireysel mücadeleleri ve insan psikolojisini inceler. Romanlarında, karakterlerinin içsel dünyalarını ve toplumsal bağlamı derinlemesine işler. Özellikle tarihsel romanlarıyla tanınmış ve bu alanda önemli bir yer edinmiştir.",,
64,Mehmet Edemen,"Mehmet Edemen, Türk yazarı ve şairidir. Edebiyat dünyasında, özellikle toplumsal ve bireysel konularda derinlemesine incelemeler yapan bir yazardır. Eserlerinde genellikle insan psikolojisinin karmaşıklığına, toplumsal yapının bireyler üzerindeki etkilerine ve sosyal eşitsizliklere dair güçlü mesajlar verir. Ayrıca, tarihi ve kültürel bağlamları derinlemesine işleyerek, insanın içsel dünyasındaki değişimleri ele alır.",,
65,Pervin Göksel,"Pervin Göksel, Türk edebiyatının önemli yazarlarından biridir. Şiir, roman ve deneme gibi çeşitli türlerde eserler vermektedir. Göksel, eserlerinde toplumsal sorunlar, bireysel mücadeleler ve insanın içsel yolculukları gibi temaları işler. Ayrıca kadın hakları ve toplumsal eşitsizlikler üzerine yazdığı yazılarla, Türk edebiyatında kendine sağlam bir yer edinmiştir. Yazar, dilindeki zarafeti ve derinliği ile okuyucularını etkilemeyi başarır.",,
66,Shelby Mahurin,"Shelby Mahurin, Amerikalı bir yazardır ve genç yetişkin edebiyatında büyülü dünyalar yaratarak geniş bir okuyucu kitlesine hitap eder. En çok satan roman serisi “Serpent & Dove” ile tanınan Mahurin, eserlerinde aşk, fedakarlık ve özgürlük gibi temaları işler. Fantastik kurgudaki yeteneği ve sürükleyici anlatımı sayesinde edebiyat dünyasında kendine sağlam bir yer edinmiştir.",1989-10-01,
67,Yüce Ağanoğlu,"Yüce Ağanoğlu, Türk edebiyatında öykü ve deneme türünde önemli eserler vermiş bir yazardır. Eserlerinde insan ilişkilerinin karmaşıklığını ve toplumsal çelişkileri işler. Ağanoğlu’nun yazılarında dikkat çeken unsur, derin bir empati yeteneği ve güçlü bir gözlem gücüdür. Türk edebiyatında genç kuşağın önemli isimlerinden biri olarak kabul edilir.",1965-12-25,
68,Yalçın Tosun,Türk öykü yazarıdır. Duygusal derinliklere inen eserleriyle dikkat çeker.,1965-05-20,
69,Andreas Gruber,Avusturyalı yazar. Gerilim ve suç türünde eserler vermektedir.,1968-01-01,
70,Selami Çınarcı,Türk yazar ve gazeteci. Edebiyat ve toplumsal sorunlar üzerine yazılar yazmaktadır.,1957-05-01,
71,Dylan Thomas,Welsh şair ve oyun yazarıdır. Modern İngiliz edebiyatının önemli figürlerinden biridir.,1914-10-27,1953-11-09
72,Timur Özer,Türk yazar ve edebiyatçı. Özellikle roman ve deneme türünde eserler vermektedir.,1980-08-05,
73,Bahattin Seven,Türk yazar ve akademisyen. Edebiyat ve tarih üzerine çalışmaları bulunmaktadır.,,
74,Rüştü Bekiroğlu,Türk yazar ve akademisyen. Sosyal ve kültürel araştırmalar yapmaktadır.,,
75,Silvia Moreno - Garcia,Meksikalı-Kanadalı yazar. Karanlık fantastik ve bilim kurgu romanları ile tanınır.,,
76,Şinasi Türmüş,Türk yazar ve şair. Edebiyat dünyasında önemli bir yer edinmiş ve özellikle halk edebiyatı üzerine eserler vermiştir.,,
77,Philip Pullman,İngiliz yazardır. Fantastik kurgu alanında tanınan eserleri ile Nobel ödülünü kazanmıştır.,,
78,Faruk Güzel,Amerikalı yazar. Genç yetişkin fantastik edebiyatının önemli isimlerinden biridir.,,
79,Robert Jackson Bennett,Amerikalı yazar. Fantastik ve bilim kurgu eserleriyle dikkat çeker.,,
80,Kamran Pasha,Amerikalı yazar. Tarihi ve kültürel çalışmalar yaparak önemli eserler kaleme almıştır.,,
81,Margaret Stohl,Amerikalı yazar. Fantastik ve bilim kurgu türünde eserler veren bir yazardır.,,
82,Oscar Wilde,İngiliz yazar. Eserlerinde insan ruhunun derinliklerine inmeyi amaçlar.,1854-10-16,1900-11-30
83,Necati Güneş,Türk yazar ve şair. Çeşitli dergilerde şiir ve yazı çalışmaları yayımlamıştır.,,
84,Aytunç Üşümezoğlu,Türk yazar. Edebiyat ve kültürel çalışmalar üzerine kitaplar kaleme almıştır.,,
85,Ebru Öztürk Akça,Türk yazarı ve şair. Özellikle toplumsal sorunlar ve insan psikolojisi üzerine yazmaktadır.,,
86,Songül Dündar,Türk yazarı. Genç yetişkin ve çocuk edebiyatı alanında önemli eserler vermiştir.,,
87,Yaşar İşgörenler,İsveçli yazar. Polisiye romanları ve gerilim kitapları ile tanınmaktadır.,,
88,Camilla Lackberg,Türk yazarı. Edebiyat alanındaki çalışmaları ile adını duyurmuş ve toplumsal olaylara dair önemli eserler vermiştir.,,
89,Nil Ergü Muradoğlu,Türk yazarı. Özellikle gençlik romanları ve tarihsel kurgu üzerine yazılar yazmıştır.,,
90,Sine Ergün,Fransız yazarı. Eserlerinde postmodernizmi ve insanların yaşamındaki absürtlüğü işler.,,
91,Jean Paul Didierlaurent,Fransız yazar. Edebiyatında bireysel özgürlük ve insan haklarına dair sorgulamalar yer alır.,,
92,Kevin Hearne,Amerikalı yazar. Fantastik ve aksiyon dolu eserleriyle tanınır.,,
93,Barış İnce,Türk yazarı. Genellikle tarihi kurgu ve roman alanında önemli eserler ortaya koymuştur.,,
94,Ramazan Öztaş,Türk yazarı. Edebiyat dünyasında genç nesil yazarlar arasında önemli bir yer edinmiştir.,,
95,Danielle Paige,Amerikalı yazardır. Genç yetişkin türünde kitaplar yazmakta ve fantastik romanlarıyla tanınmaktadır.,,
96,Ramazan Bardakçı,Türk yazarı. Edebiyat alanında toplumsal eleştirilerde bulunmuş ve tarihsel olayları romanlarına taşımıştır.,,
97,Şener İpek,Türk yazarı. Modern Türk edebiyatında önemli eserler kaleme almış bir yazardır.,,
98,Michele Roberts,İngiliz yazarı. Eserlerinde insan ruhunun karanlık yönlerini ve toplumsal adaletsizlikleri işler.,,
99,Hakan Ahmet Acar,Türk yazarı. Edebiyat alanında toplumsal ve bireysel meseleleri işleyen önemli eserler vermiştir.,,
100,İhsan Oktay Anar,Türk yazarı. Modern Türk edebiyatının en önemli isimlerinden biridir. Tarihi romanları ve derin karakter analizleri ile tanınır.,,
101,Marie Lu,"Marie Lu, Amerikalı bir yazardır. En çok “Legend” serisiyle tanınan Lu, distopik ve aksiyon dolu romanlarıyla genç yetişkin edebiyatının önemli isimlerinden biridir.",1984-07-11,
102,Göktürk Kaan Tuğrul,"Göktürk Kaan Tuğrul, Türk şair ve yazardır. Şiirlerinde toplumsal olaylar ve bireysel duygular arasında denge kurarak, modern Türk şiirine önemli katkılarda bulunmuştur. Aynı zamanda denemeler yazarak, sosyal ve kültürel temalar üzerine derinlemesine düşüncelerini ortaya koyar. Yazılarında, bireylerin toplumla olan ilişkilerini ve içsel çatışmalarını işler.",,
103,Whitney G.,"Whitney G., Amerikalı bir romantik kurgu yazarıdır. Eserlerinde, ilişkilerin psikolojik derinliklerine inmeyi ve karakterlerin zorluklar karşısında nasıl değiştiğini keşfetmeyi amaçlar. Yazıları, tutkulu ve duygusal bir temaya sahip olup, gerilim ve romantizmi birleştirir. Aşk ve insan ilişkilerinin karmaşıklığına dair derinlemesine gözlemler sunar.",,
104,Allann Frewin Jones,"Allan Frewin Jones, İngiliz bir yazardır. Genç yetişkin ve fantastik türde eserler vermektedir. ""The Lost Power"" gibi serileriyle tanınır. Eserlerinde fantastik dünyalar yaratırken, insanın içsel yolculuklarına ve ahlaki değerlerine de odaklanır. Genç okuyuculara hitap eden yaratıcı bir anlatım tarzına sahiptir.",,
105,Khaled Hosseini,"Khaled Hosseini, Afgan asıllı Amerikalı bir yazardır. 2003 yılında yayımlanan ""Uçurtma Avcısı"" adlı eseri, dünya çapında büyük bir başarı kazanmıştır. Hosseini, eserlerinde Afgan halkının tarihi, savaşın etkileri ve bireylerin içsel mücadelesini işler. Eserleri, derin duygusal temalarla zenginleşir ve insanlık halleri üzerine derinlemesine düşünceler sunar.",1965-03-04,
106,Neslihan Acu,"Neslihan Acu, Türk şair ve yazardır. Yazılarında toplumsal olaylar, bireysel duygular ve insan hakları gibi temaları işler. Özellikle kadın hakları ve toplumsal eşitsizlikler üzerine yazdığı eserlerle tanınır. Acu, yazılarında kadınların içsel gücünü ve toplumsal yapılarla verdikleri savaşı güçlü bir şekilde ele alır.",,
107,Nilgün Öneş,"Nilgün Öneş, Türk edebiyatının önemli isimlerinden biridir. Şiir ve deneme alanlarında eserler vermiştir. Yazılarında özgün bir dil kullanarak, toplumsal olaylara ve bireysel duygulara dair derinlemesine düşüncelerini aktarır. Eserlerinde genellikle modern hayatın bireyler üzerindeki etkilerini ve insanın içsel çatışmalarını işler.",,
108,Kate Moretti,"Kate Moretti, Amerikalı bir yazardır. Gerilim, dram ve romantizm türlerinde eserler vermektedir. Yazılarında, karakter derinliklerine inerek, insanın karanlık yönlerini ve içsel çatışmalarını işler. Ayrıca, aile dinamikleri ve toplumsal ilişkiler üzerine de derinlemesine incelemelerde bulunur. Özellikle karakterlerinin psikolojik boyutları ile dikkat çeker.",,
109,Edgar Wallace,"Edgar Wallace, İngiliz yazarıdır. Polisiye ve gerilim türlerinin öncülerindendir. ""The Green Archer"" gibi eserleriyle tanınır. Wallace, romanlarında genellikle gizemli olaylar, cinayetler ve suçları işlerken, karakterlerin karmaşık psikolojilerine de değinir. Kendisinin eserleri, zeki kurgusu ve sürükleyici anlatımıyla bilinir.",1875-04-01,1932-02-10
110,Elif Usman,"Elif Usman, Türk yazarıdır. Eserlerinde genellikle insan ilişkileri, aile bağları ve toplumsal normlar üzerine derinlemesine düşüncelerini ifade eder. Özellikle kadın karakterleri ve onların toplumda karşılaştıkları zorluklar üzerinden güçlü bir anlatım sergiler. Usman, hem dil hem de anlatım tarzıyla Türk edebiyatında kendine sağlam bir yer edinmiştir.",,
111,Kostas Mourselas,"Kostas Mourselas, Yunanlı yazardır. Modern Yunan edebiyatının önemli figürlerinden biridir. Eserlerinde, Yunan halkının tarihsel süreçlerini, kültürel çatışmaları ve bireysel psikolojiyi işler. Mourselas, romanlarında karakterlerin içsel yolculuklarına ve toplumsal normlarla olan mücadelelerine derinlemesine odaklanır.",,
112,Zeynep Kaçar,"Zeynep Kaçar, Türk yazarı ve şairidir. Şiirlerinde toplumsal sorunlara, bireysel trajedilere ve insanın içsel yolculuğuna dair derinlemesine incelemeler yapmaktadır. Zeynep Kaçar, eserlerinde modern Türk şiirinin önemli temsilcilerindendir ve yazılarında sembolizm ve çağdaş temalar kullanır.",,
113,Maden Avcu,"Maden Avcu, Türk edebiyatının genç kuşak yazarlarındandır. Eserlerinde genellikle bireysel sorunları, toplumsal sorunlarla ilişkilendirerek işler. Kendi içsel çatışmalarını ve toplumdaki adaletsizlikleri dile getirirken, toplumsal eleştiriler de sunar. Maden Avcu, yeni nesil yazarlar arasında ses getiren bir isimdir.",,
114,Jessie Burton,"Jessie Burton, İngiliz yazardır. En bilinen eseri *The Miniaturist*, tarihi kurgularla dolu bir romandır. Burton, romanlarında geçmişin izlerini ve bireylerin içsel dünyalarındaki değişimleri başarıyla işler. Eserlerinde tarihsel bir arka planla, insan ruhunun derinliklerini keşfeder.",,
115,Paulo Coelho,"Paulo Coelho, Brezilyalı bir yazardır ve *Simyacı* adlı eseri dünya çapında büyük bir başarı kazanmıştır. Eserlerinde insanın içsel yolculuğunu, kaderi ve arayışını işler. Coelho, hem basit hem de derin bir dil kullanarak okuyucularına hayatın anlamı hakkında düşündürür.",1947-08-24,
116,Georges Rodenbach,"Georges Rodenbach, Belçikalı yazardır ve özellikle 19. yüzyılın sonlarına doğru yazdığı eserlerle tanınır. Eserlerinde, melankoli ve kayıp temalarını işlerken, gotik bir atmosfer yaratır. Rodenbach, dilindeki zarafet ve derinlik ile okuyucularını etkilemiştir.",1855-07-16,1898-12-25
117,Andrew Jolly,"Andrew Jolly, Amerikalı bir yazardır. Genellikle bilim kurgu ve fantastik türlerde eserler verir. Jolly, fantastik dünyalar yaratırken, bu dünyalarda insanlık, doğa ve teknoloji arasındaki ilişkiyi işler. Yazılarında insan ruhunun karanlık ve aydınlık yönlerini başarılı bir şekilde ele alır.",,
118,Ezgi Ayvalı,"Ezgi Ayvalı, Türk yazar ve şairdir. Eserlerinde genellikle bireysel duygular, toplumsal sorunlar ve insan ilişkileri gibi temalar üzerinde durur. Ayvalı, modern Türk edebiyatının güçlü kalemlerinden biri olarak kabul edilmektedir. Dilindeki incelik ve derinlik, okuyucularını etkilemeyi başarmaktadır.",,
119,Seray Şahiner,"Seray Şahiner, Türk romancı ve öykücüsüdür. Eserlerinde genellikle bireysel kimlik, toplumsal adalet ve kadın hakları gibi önemli temalar işlenmektedir. Şahiner, yazdığı güçlü karakterler ve etkileyici anlatımı ile tanınır ve Türk edebiyatına önemli katkılarda bulunmuştur.",,
120,Vivet Kanetti,"Vivet Kanetti, çağdaş bir yazardır ve eserlerinde toplumsal normlar, bireysel özgürlük ve kimlik kavramlarını sorgular. Yazar, kurgusal evreninde insanın varoluşsal mücadelesini ve duygusal derinliğini başarıyla işler.",,
121,Enis Ayaz,"Enis Ayaz, Türk edebiyatının önemli yazarlarından biridir. Yazdığı eserlerde toplumsal olaylar, bireylerin içsel dünyası ve insanın çevresiyle olan ilişkisi üzerine derinlemesine analizler yapar. Ayaz, özellikle modern Türk hikayeciliğiyle tanınır.",,
122,Ingmar Bergman,"Ingmar Bergman, İsveçli yönetmen, senarist ve yazar olarak tanınmaktadır. Sinema dünyasında derin psikolojik temalar ve varoluşsal sorularla tanınan Bergman, aynı zamanda edebi eserler de kaleme almıştır. Onun çalışmaları, insan ruhunun karmaşıklığını ve bireysel özgürlüğün sınırlamalarını keşfeder.",1918-07-14,2007-07-30
123,Henry Handel Richardson,"Henry Handel Richardson, Avustralyalı yazar ve romancıdır. Eserlerinde Avustralya toplumunun sosyal yapısı, bireysel kimlik ve kadın hakları gibi temalar üzerine yoğunlaşır. Richardson, yazdığı tarihi romanlarla tanınır ve Avustralya edebiyatının önemli isimlerinden biridir.",1870-01-03,1946-03-20
124,Görkem Akıncı,"Görkem Akıncı, Türk yazar ve şairdir. Edebiyat dünyasında özellikle modern Türk şiirine katkıda bulunan bir isimdir. Akıncı, bireysel özgürlük, toplumsal sorunlar ve insan ilişkileri üzerine derinlemesine düşüncelerini şiirlerinde işlemektedir.",,
125,Crystal Chan,"Crystal Chan, Amerikalı yazar ve roman yazarıdır. Eserlerinde, genellikle büyüme hikayeleri, duygusal zorluklar ve insan ilişkileri üzerine yoğunlaşır. Chan, genç yetişkin edebiyatında başarılı eserler kaleme almış ve geniş bir okuyucu kitlesine ulaşmıştır.",,
126,Wendy Wunder,"Wendy Wunder, Amerikalı yazar olarak tanınmaktadır. Yazılarında genellikle genç yetişkinlerin zorluklarla baş etme sürecini, içsel yolculukları ve aşkı konu alır. Wunder, duygusal derinliği ve güçlü karakterleri ile tanınır.",,
127,Cynthia Hand,"Cynthia Hand, Amerikalı bir yazardır. Eserlerinde genellikle fantastik ögeler, genç yetişkinlerin içsel mücadeleleri ve ilişkiler üzerine yazılar kaleme alır. Hand, edebi kariyerinde birçok ödül kazanmış ve geniş bir takipçi kitlesi oluşturmuştur.",,
128,Mazlum Gülsoy,"Mazlum Gülsoy, Türk yazar ve şairdir. Eserlerinde insanın ruhsal hali, toplumsal eşitsizlikler ve bireysel duygular üzerine derinlemesine temalar işler. Gülsoy, Türk edebiyatının güncel isimlerinden biri olarak eserlerine büyük ilgi görmektedir.",,
